# regime-adapt train day sampling v1 | frozen 2026-08-09 | seed=42
# train=2004-01-02..2020-07-31 | labels=monthly_regime_3style.csv
# D downsample keep=1718/2771 (f_D=0.619993); target D/F/T=55/30/15; decay halflife=48m (M3 only)
date,weight
2006-07-21,0.34567869
2006-07-24,0.34617104
2006-07-25,0.34633532
2006-07-26,0.34649967
2006-07-27,0.3466641
2006-07-28,0.34682861
2006-07-31,0.3473226
2006-08-01,0.23264072
2006-08-03,0.23286157
2006-08-04,0.23297207
2006-08-07,0.2333039
2006-08-08,0.23341461
2006-08-09,0.23352538
2006-08-10,0.2336362
2006-08-11,0.23374707
2006-08-14,0.23408
2006-08-15,0.23419108
2006-08-17,0.2344134
2006-08-18,0.23452464
2006-08-23,0.23508163
2006-08-24,0.23519319
2006-08-25,0.2353048
2006-08-28,0.23563995
2006-08-29,0.23575177
2006-08-31,0.23597557
2006-09-05,0.23653601
2006-09-06,0.23664826
2006-09-11,0.23721029
2006-09-13,0.23743548
2006-09-20,0.23822532
2006-09-25,0.2387911
2006-09-28,0.23913122
2006-10-10,0.24049652
2006-10-11,0.24061065
2006-10-12,0.24072483
2006-10-13,0.24083906
2006-10-16,0.24118209
2006-10-17,0.24129655
2006-10-18,0.24141105
2006-10-19,0.24152561
2006-10-20,0.24164023
2006-10-24,0.24209923
2006-10-25,0.24221412
2006-10-31,0.24290459
2006-11-01,0.4371452
2006-11-02,0.43735265
2006-11-03,0.43756019
2006-11-06,0.43818342
2006-11-07,0.43839135
2006-11-08,0.43859939
2006-11-09,0.43880753
2006-11-10,0.43901576
2006-11-13,0.43964106
2006-11-14,0.43984969
2006-11-15,0.44005842
2006-11-16,0.44026724
2006-11-17,0.44047617
2006-11-20,0.44110355
2006-11-21,0.44131287
2006-11-22,0.44152229
2006-11-23,0.44173182
2006-11-24,0.44194144
2006-11-27,0.4425709
2006-11-28,0.44278092
2006-11-29,0.44299104
2006-11-30,0.44320126
2006-12-01,0.44341158
2006-12-04,0.44404314
2006-12-05,0.44425386
2006-12-06,0.44446468
2006-12-07,0.44467559
2006-12-08,0.44488661
2006-12-11,0.44552027
2006-12-12,0.44573169
2006-12-13,0.44594321
2006-12-14,0.44615483
2006-12-15,0.44636655
2006-12-18,0.44700232
2006-12-19,0.44721444
2006-12-20,0.44742667
2006-12-21,0.44763899
2006-12-22,0.44785142
2006-12-25,0.4484893
2006-12-26,0.44870213
2006-12-27,0.44891506
2006-12-28,0.44912809
2006-12-29,0.44934122
2007-01-04,0.37418116
2007-01-05,0.37435873
2007-01-08,0.37489193
2007-01-09,0.37506984
2007-01-10,0.37524782
2007-01-11,0.3754259
2007-01-12,0.37560405
2007-01-15,0.37613903
2007-01-16,0.37631753
2007-01-17,0.37649611
2007-01-18,0.37667477
2007-01-19,0.37685352
2007-01-22,0.37739028
2007-01-23,0.37756937
2007-01-24,0.37774854
2007-01-25,0.3779278
2007-01-26,0.37810714
2007-01-29,0.37864569
2007-01-30,0.37882537
2007-01-31,0.37900514
2007-02-01,0.379185
2007-02-02,0.37936494
2007-02-05,0.37990527
2007-02-06,0.38008555
2007-02-07,0.38026592
2007-02-08,0.38044638
2007-02-09,0.38062692
2007-02-12,0.38116905
2007-02-13,0.38134993
2007-02-14,0.3815309
2007-02-15,0.38171195
2007-02-16,0.38189309
2007-02-26,0.38370922
2007-02-27,0.38389131
2007-02-28,0.38407349
2007-03-01,0.38425575
2007-03-02,0.38443809
2007-03-05,0.38498565
2007-03-06,0.38516835
2007-03-07,0.38535113
2007-03-08,0.38553399
2007-03-09,0.38571695
2007-03-12,0.38626633
2007-03-13,0.38644963
2007-03-14,0.38663302
2007-03-15,0.38681649
2007-03-16,0.38700006
2007-03-19,0.38755127
2007-03-20,0.38773518
2007-03-21,0.38791918
2007-03-22,0.38810326
2007-03-23,0.38828743
2007-03-26,0.38884048
2007-03-27,0.389025
2007-03-28,0.38920961
2007-03-29,0.38939431
2007-03-30,0.38957909
2007-04-02,0.39013398
2007-04-03,0.39031911
2007-04-04,0.39050434
2007-04-05,0.39068965
2007-04-06,0.39087505
2007-04-09,0.39143178
2007-04-10,0.39161753
2007-04-11,0.39180337
2007-04-12,0.3919893
2007-04-13,0.39217532
2007-04-16,0.3927339
2007-04-17,0.39292027
2007-04-18,0.39310673
2007-04-19,0.39329327
2007-04-20,0.39347991
2007-04-23,0.39404035
2007-04-24,0.39422734
2007-04-25,0.39441442
2007-04-26,0.39460158
2007-04-27,0.39478884
2007-04-30,0.39535114
2007-05-08,0.39685454
2007-05-09,0.39704286
2007-05-10,0.39723128
2007-05-11,0.39741978
2007-05-14,0.39798583
2007-05-15,0.3981747
2007-05-16,0.39836365
2007-05-17,0.39855269
2007-05-18,0.39874182
2007-05-21,0.39930975
2007-05-22,0.39949925
2007-05-23,0.39968883
2007-05-24,0.3998785
2007-05-25,0.40006826
2007-05-28,0.40063808
2007-05-29,0.4008282
2007-05-30,0.40101841
2007-05-31,0.40120871
2007-06-01,0.40139911
2007-06-04,0.40197082
2007-06-05,0.40216158
2007-06-06,0.40235242
2007-06-07,0.40254336
2007-06-08,0.40273438
2007-06-11,0.403308
2007-06-12,0.40349939
2007-06-13,0.40369087
2007-06-14,0.40388244
2007-06-15,0.4040741
2007-06-18,0.40464963
2007-06-19,0.40484165
2007-06-20,0.40503377
2007-06-21,0.40522598
2007-06-22,0.40541827
2007-06-25,0.40599572
2007-06-26,0.40618838
2007-06-27,0.40638114
2007-06-28,0.40657398
2007-06-29,0.40676692
2007-07-02,0.40734628
