datetime,bench
2020-10-22,-0.0031250033
2020-10-23,-0.013148179
2020-10-26,0.0022276926
2020-10-27,0.00069486635
2020-10-28,0.0020538897
2020-10-29,-0.0026040534
2020-10-30,-0.02616264
2020-11-02,0.0013406625
2020-11-03,0.020260533
2020-11-04,-0.0018359722
2020-11-05,0.01738749
2020-11-06,-0.008929961
2020-11-09,0.021913026
2020-11-10,-0.009056526
2020-11-11,-0.011728456
2020-11-12,0.0011139374
2020-11-13,0.00017910286
2020-11-16,0.010528583
2020-11-17,-0.0064878473
2020-11-18,0.0041896673
2020-11-19,0.0030759927
2020-11-20,0.0057447115
2020-11-23,0.0035313696
2020-11-24,-0.00034940985
2020-11-25,-0.013095854
2020-11-26,-0.004280252
2020-11-27,-0.0006261414
2020-11-30,-0.0023270415
2020-12-01,0.013034675
2020-12-02,0.0023650932
2020-12-03,-0.0021514704
2020-12-04,0.0022842847
2020-12-07,-0.004887121
2020-12-08,-0.0020984549
2020-12-09,-0.01851515
2020-12-10,-0.00048319274
2020-12-11,-0.016330048
2020-12-14,0.007103495
2020-12-15,-0.00044225724
2020-12-16,-0.011715288
2020-12-17,0.009297587
2020-12-18,-0.004114342
2020-12-21,0.010276129
2020-12-22,-0.02066896
2020-12-23,0.0038629037
2020-12-24,-0.018803317
2020-12-25,0.009444865
2020-12-28,-0.011244899
2020-12-29,-0.0027729056
2020-12-30,0.0047412263
2020-12-31,0.014034678
2021-01-04,0.015332874
2021-01-05,6.623081e-05
2021-01-06,-0.01235388
2021-01-07,-0.025415184
2021-01-08,-0.0011522236
2021-01-11,-0.022581628
2021-01-12,0.008013247
2021-01-13,-0.014778365
2021-01-14,0.004183476
2021-01-15,0.013486383
2021-01-18,0.015380031
2021-01-19,0.003619562
2021-01-20,0.0038485148
2021-01-21,0.0067264885
2021-01-22,-0.009362817
2021-01-25,-0.013586666
2021-01-26,-0.008292094
2021-01-27,0.0017575481
2021-01-28,-0.0134872515
2021-01-29,-0.013999735
2021-02-01,0.0064699077
2021-02-02,0.0027267102
2021-02-03,-0.015400277
2021-02-04,-0.018104596
2021-02-05,-0.013068909
2021-02-08,0.0013074398
2021-02-09,0.017976133
2021-02-10,0.006913298
2021-02-18,0.025667911
2021-02-19,0.026218893
2021-02-22,0.008125108
2021-02-23,-0.005727468
2021-02-24,-0.0013825339
2021-02-25,-0.006379175
2021-02-26,-0.003955202
2021-03-01,0.022288738
2021-03-02,-0.00554812
2021-03-03,0.012985288
2021-03-04,-0.009419231
2021-03-05,0.007785317
2021-03-08,-0.0122267
2021-03-09,-0.025473164
2021-03-10,-0.011001407
2021-03-11,0.020150691
2021-03-12,0.00092780206
2021-03-15,-0.0032798932
2021-03-16,0.012770494
2021-03-17,0.005982333
2021-03-18,0.0014417631
2021-03-19,-0.0022818025
2021-03-22,0.016837751
2021-03-23,-0.011226272
2021-03-24,-0.008557471
2021-03-25,-0.0034583635
2021-03-26,0.013287813
